tick,event,atm_min,atm_max,atm_mean,wave_p_min,wave_p_max,fire_max,smoke_max,wave_source_max
148,,1.0090,1.0623,1.0606,0.0000,0.0966,1.0000,1.0000,0.0009
149,,1.0086,1.0629,1.0611,0.0000,0.0966,1.0000,1.0000,0.0009
150,,1.0082,1.0634,1.0615,0.0000,0.0966,1.0000,1.0000,0.0009
151,,1.0079,1.0639,1.0620,0.0000,0.0966,1.0000,1.0000,0.0009
152,,1.0075,1.0644,1.0624,0.0000,0.0966,1.0000,1.0000,0.0009
153,,1.0071,1.0650,1.0628,0.0000,0.0966,1.0000,1.0000,0.0009
154,,1.0067,1.0655,1.0633,0.0000,0.0966,1.0000,1.0000,0.0009
155,,1.0064,1.0660,1.0637,0.0000,0.0966,1.0000,1.0000,0.0009
156,,1.0060,1.0666,1.0642,0.0000,0.0966,1.0000,1.0000,0.0009
157,,1.0057,1.0671,1.0646,0.0000,0.0966,1.0000,1.0000,0.0009
158,,1.0054,1.0676,1.0650,0.0000,0.0966,1.0000,1.0000,0.0009
159,,1.0050,1.0682,1.0654,0.0000,0.0966,1.0000,1.0000,0.0009
160,,1.0047,1.0687,1.0659,0.0000,0.0966,1.0000,1.0000,0.0009
161,,1.0044,1.0692,1.0663,0.0000,0.0966,1.0000,1.0000,0.0009
162,,1.0041,1.0698,1.0667,0.0000,0.0966,1.0000,1.0000,0.0009
163,,1.0038,1.0703,1.0671,0.0000,0.0966,1.0000,1.0000,0.0009
164,,1.0035,1.0708,1.0675,0.0000,0.0966,1.0000,1.0000,0.0009
165,,1.0032,1.0713,1.0679,0.0000,0.0966,1.0000,1.0000,0.0009
166,,1.0029,1.0719,1.0684,0.0000,0.0966,1.0000,1.0000,0.0009
167,,1.0026,1.0724,1.0688,0.0000,0.0966,1.0000,1.0000,0.0009
168,,1.0024,1.0729,1.0692,0.0000,0.0966,1.0000,1.0000,0.0009
169,,1.0021,1.0735,1.0696,0.0000,0.0966,1.0000,1.0000,0.0009
170,,1.0019,1.0740,1.0700,0.0000,0.0966,1.0000,1.0000,0.0009
171,,1.0016,1.0745,1.0704,0.0000,0.0966,1.0000,1.0000,0.0009
